frame,x,y,theta,velocity
44,0.2199989349337932,0.000510243373453799,0.00695788824390516,0.12
45,0.2249988082759601,0.0005458291731239773,0.007277749841894602,0.12
46,0.22999866984518208,0.0005830322076716567,0.007604799340962459,0.12
47,0.23499851883916917,0.000621888411624711,0.00793903674110873,0.12
48,0.2399983544199844,0.0006624337190589625,0.008280462042333412,0.12
49,0.2449981757132692,0.0007047040635680675,0.008629075244636512,0.12
50,0.24999798180746807,0.0007487353782320878,0.008984876348018027,0.12
51,0.2549977717530548,0.0007945635955847291,0.009347865352477955,0.12
52,0.2599975445617572,0.0008422246475792142,0.009718042258016299,0.12
53,0.26499729920578274,0.0008917544655527643,0.010095407064633057,0.12
54,0.26999703461704383,0.0009431889801896578,0.010479959772328228,0.12
55,0.2749967496863832,0.0009965641214828434,0.010871700381101813,0.12
56,0.2799964432628001,0.0010519158186940783,0.011270628890953815,0.12
57,0.28499611415267484,0.0011092800003125567,0.01167674530188423,0.12
58,0.28999576111899467,0.001168692594012015,0.012090049613893055,0.12
59,0.29499538288057997,0.0012301895266062734,0.012510541826980298,0.12
60,0.2999949781113092,0.0012938067240031868,0.012938221941145958,0.12
61,0.30499454543934484,0.00135958011115699,0.013373089956390031,0.12
62,0.3099940834463591,0.001427545612018989,0.013815145872712518,0.12
63,0.31499359066675964,0.0014977391494865936,0.01426438969011342,0.12
64,0.3199930655869158,0.00157019664535064,0.014720821408592735,0.12
65,0.32499250664438406,0.0016449540202409958,0.015184441028150468,0.12
66,0.3299919122271342,0.0017220471935704064,0.015655248548786613,0.12
67,0.3349912806727753,0.0018015120834765645,0.01613324397050117,0.12
68,0.33999061026778166,0.001883384606762359,0.016618427293294144,0.12
69,0.34498989924671924,0.0019677006788343036,0.017110798517165533,0.12
70,0.34998914579147183,0.0020544962136390854,0.017610357642115337,0.12
71,0.3549883480304672,0.0021438071235982247,0.018117104668143546,0.12
72,0.3599875040379034,0.002235669319540825,0.018631039595250178,0.12
73,0.3649866118329757,0.002330118710634351,0.019152162423435225,0.12
74,0.3699856693791022,0.0024271912043134568,0.019680473152698687,0.12
75,0.37498467458315166,0.0025269227062067923,0.020215971783040562,0.12
76,0.3799836252946695,0.0026293491200617826,0.02075865831446085,0.12
77,0.3849825193051041,0.0027345063476673535,0.021308532746959555,0.12
78,0.3899813543470352,0.0028424302887745606,0.021865595080536673,0.12
79,0.3949801280933993,0.0029531568410151162,0.022429845315192206,0.12
80,0.3999788381567178,0.00306672189981775,0.02300128345092615,0.12
81,0.4049774820883242,0.003183161358322434,0.023579909487738516,0.12
82,0.4099760573775906,0.0033025111072923774,0.02416572342562929,0.12
83,0.4149745614511562,0.0034248070350238126,0.024758725264598477,0.12
84,0.41997299167215424,0.0035500850272535242,0.025358915004646078,0.12
85,0.42497134533944003,0.0036783809670640996,0.025966292645772094,0.12
86,0.4299696196868184,0.003809730734786864,0.026580858187976533,0.12
87,0.4349678118822724,0.0039441702079024785,0.02720261163125938,0.12
88,0.4399659190271907,0.00408173526093919,0.02783155297562064,0.12
89,0.44496393815559615,0.004222461765368669,0.028467682221060317,0.12
90,0.44996186623337425,0.004366385589499438,0.029110999367578407,0.12
